"Source:","/Users/rutvikpatel/Downloads/FSR_Mat_PCB-master/298/finalIOTproject/finalIOTproject.kicad_sch"
"Date:","Sunday, May 12, 2024 at 03:08:17 PM"
"Tool:","Eeschema 7.0.10"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","18"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Availability","Check_prices","Description","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","PARTREV","Package","Price","STANDARD","SnapEDA_Link"
"1","2","C1, C2","1000u","Device:C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~","","","","","","","","","","","","",""
"2","1","J1","Power","Connector_Generic:Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~","","","","","","","","","","","","",""
"3","1","J2","Digital/PWM","Connector_Generic:Conn_01x10","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","~","","","","","","","","","","","","",""
"4","1","J3","Analog","Connector_Generic:Conn_01x06","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~","","","","","","","","","","","","",""
"5","1","J4","Digital/PWM","Connector_Generic:Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~","","","","","","","","","","","","",""
"6","1","J5","TEMP","Connector_Generic:Conn_01x04","Connector:NS-Tech_Grove_1x04_P2mm_Vertical","~","","","","","","","","","","","","",""
"7","1","J6","LCD ","Connector_Generic:Conn_01x04","Connector:NS-Tech_Grove_1x04_P2mm_Vertical","~","","","","","","","","","","","","",""
"8","1","J7","Conn_01x02_Socket","Connector:Conn_01x02_Socket","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","","","","",""
"9","1","J8","LED","Connector_Generic:Conn_01x04","Connector:NS-Tech_Grove_1x04_P2mm_Vertical","~","","","","","","","","","","","","",""
"10","1","K1","G5V-1","Relay:G5V-1","Relay_THT:Relay_SPDT_Omron_G5V-1","http://omronfs.omron.com/en_US/ecb/products/pdf/en-g5v_1.pdf","","","","","","","","","","","","",""
"11","2","R1, R3","1k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","",""
"12","2","R2, R4","2k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","",""
"13","2","R5, R6","4.7k ","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","",""
"14","1","U1","ESP8266-01_ESP-01","ESP8266-01_ESP-01:ESP8266-01_ESP-01","ESP8266-01_ESP-01:XCVR_ESP8266-01_ESP-01","","","Not in stock","https://www.snapeda.com/parts/ESP8266-01/ESP-01/AI-Thinker/view-part/?ref=eda","MakerFocus 4pcs ESP8266 ESP-01 Serial Wireless WiFi Transceiver Receiver Module 1MB SPI Flash DC3.0-3.6V Internet of Things WiFi Module Board Compatible with Ar duino","AI-Thinker","11.2 mm","AI-Thinker","ESP8266-01/ESP-01","V1.2","Non-Standard AI-Thinker","None","Manufacturer recommendations or IPC 7351B","https://www.snapeda.com/parts/ESP8266-01/ESP-01/AI-Thinker/view-part/?ref=snap"
